MOTHER_ED,EERI,MATH_VERB
11,1,0.46474
10,1,0.11753999999999999
8,2,0.07227
8,0,0.038
16,2,0.24294000000000002
13,2,0.34987
14,2,0.70288
18,2,0.63707
16,2,0.7147100000000001
14,3,0.51695
16,3,0.96075
12,1,0.30012
14,2,0.9193399999999999
19,2,0.9301699999999999
16,2,0.88303
16,2,0.46238999999999997
14,2,0.83343
14,2,0.28754
17,3,0.9775400000000001
16,2,0.84902
16,2,0.7674599999999999
14,1,0.46225
16,2,0.7456499999999999
18,2,0.92727
18,2,0.53442
16,3,0.68613
12,2,0.14042
13,2,0.6585899999999999
17,3,0.97287
16,3,0.98004
14,2,0.41795000000000004
16,2,0.92553
16,2,0.49509000000000003
16,2,0.81082
20,3,0.94066
19,2,0.9914700000000001
16,2,0.379
16,3,0.9875799999999999
16,3,0.85075
12,3,0.93084
13,2,0.8875
12,1,0.78318
12,3,0.97316
13,2,0.62978
13,2,0.80797
11,1,0.39787
12,1,0.54835
11,1,0.29268
11,1,0.26381
16,2,0.41822000000000004
16,1,0.47386
16,1,0.18999
16,2,0.20759
12,2,0.8217700000000001
12,1,0.9081699999999999
14,2,0.6813899999999999
14,2,0.29819
14,2,0.69021
12,2,0.17283
16,2,0.73083
17,2,0.89397
13,3,0.8774
14,3,0.6380899999999999
12,2,0.7928700000000001
9,2,0.43999000000000005
10,1,0.10319
11,1,0.12321
10,1,0.16713
9,1,0.06128
12,2,0.10082
10,1,0.13881
9,1,0.00639
12,2,0.04842
9,3,0.4648
12,1,0.30329
13,3,0.57487
6,2,0.34814999999999996
6,2,0.26063
12,2,0.74768
14,2,0.8996999999999999
12,1,0.25218
18,3,0.9523699999999999
16,3,0.9611700000000001
14,2,0.63819
12,2,0.96974
13,3,0.66643
13,3,0.84379
13,1,0.27648
14,2,0.51129
15,2,0.4296
9,1,0.08324999999999999
9,2,0.0727
9,2,0.14495
14,2,0.39864
15,1,0.29364
13,2,0.61161
12,2,0.34749
16,2,0.70938
17,3,0.8626
17,3,0.4752
12,3,0.76267
12,2,0.70116
10,0,0.20702
13,3,0.42916
15,3,0.94837
15,3,0.77228
12,2,0.24545000000000003
12,3,0.67804
12,2,0.75646
16,3,0.80559
